,,,prereqs,,positive,start trigger,stop trigger,cost,costfunction,income,incomefunction,,,,,,,,,,,,,,,,,,,,
#,SkillsShortage,ECONOMY,,sit_icons_skillsshortage,0,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"_default_,0.75","Education,0-(0.38*x),4","AdultEducationSubsidies,0-(0.17*x),8","UniversityGrants,0-(0.2*x),4","Immigration,0-(0.17*x)","Technology,0.29*(x^2),4","GDP,0.22*(x^4.9),2","Unemployment,1-(x^0.04)+0.03",#,"GDP,0-(0.44*x)^1.4",,,,,,,,,,
#,Pollution,ECONOMY,,sit_icons_pollution,0,0.7,0.55,125,0+(1.0*x),0,0+(1.0*x),"_default_,0.5","Environment,0-(1.0*x)",#,"Environmentalist,-0.1-(0.3*x)","Health,0-(0.48*x)^1.5","Environmentalist_freq,0.1*(x^1.5)+0.1","AsthmaEpidemic,0.02+(0.02*x),2",,,,,,,,,,,,,
#,Uncompetitive Economy,ECONOMY,,sit_icons_uncompetitiveeconomy,0,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"_default_,0.8","CorporationTax,0+(0.3*x)","WorkerProductivity,0-(0.7*x)","ImportTarrifs,-0.1-(0.3*x),2","Wages,-0.05+(x^2)/7",#,"GDP,0-(0.34*x)^1.52","Capitalist,-0.04-(0.06*x)",,,,,,,,,,,,
#,TechnologicalAdvantage,ECONOMY,,sit_icons_technologicaladvantage,1,0.65,0.45,0,0+(1.0*x),0,0+(1.0*x),"_default_,0","TaxShelters,0.04+(0.18*x),6","Technology,0+(0.68*x)","Creationism,0+(0.07*x),16","SpaceProgram,0+(0.11*x),8",#,"GDP,0.015+(0.02*x),4","BrainDrain,-0.1-(0.25*x)","WorkerProductivity,0.1+(0.05*x)","TechnologyBackwater,-1.0-(0*x)","CorporateExodus,-0.1-(0.25*x),2",,,,,,,,,
#,HighProductivity,ECONOMY,,sit_icons_highproductivity,1,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"WorkerProductivity,0.95*(x^2)",#,"GDP,0.04+(0.03*x)","SelfEmployed,0+(0.1*x)","Capitalist,0+(0.1*x)","SelfEmployed_income,0+(0.08*x)","Wages,0.1*(x^1.55)",,,,,,,,,,,,,
#,StreetGangs,LAWANDORDER,,sit_icons_streetgangs,0,0.6,0.4,125,0+(1.0*x),0,0+(1.0*x),"ArmedPolice,-0.1-(0.3*x),2","CCTVCameras,-0.05-(0.05*x),2","CommunityPolicing,-0.05-(0.1*x),4","PovertyRate,0+(0.84*x)","Unemployment,0.1+(0.6*x)","PoliceForce,0-(0.17*x),4","PoliceDrones,-0.1-(0.1*x),3","Homelessness,0+(0.1*x),2",#,"CrimeRate,0.12+(0.12*x)","Conservatives,-0.1-(0.1*x)","Retired,-0.1-(0.2*x)","_global_liberalism,-0.06-(0.03*x)","_All_,-0.05-(0.05*x)","ViolentCrimeRate,0.27*(x^3)",,,,,
#,AntisocialBehaviour,LAWANDORDER,,sit_icons_antisocialbehaviour,0,0.6,0.4,11.25,0+(1.0*x),0,0+(1.0*x),"_default_,0.82+(0*x)","CCTVCameras,0-(0.3*x),2","PoliceForce,0-(0.55*x)","CommunityPolicing,-0.1-(0.25*x),4","AlcoholConsumption,0+(0.22*x)","Religious_perc,0.1-(0.2*x)","Unemployment,0+(0.1*x),8","YouthClubSubsidies,-0.02-(0.04*x),2",#,"CrimeRate,0.1+(0.12*x)","Conservatives,-0.1-(0.4*x)",,"_global_liberalism,-0.06-(0.03*x)",,,,,,,
#,GeneralStrike,ECONOMY,,sit_icons_generalstrike,0,0.6,0.4,250,0+(1.0*x),0,0+(1.0*x),"_LowIncome,0.25-(0.5*x)","LabourLaws,-0.25+(0.45*x)","PovertyRate,-0.3+(0.7*x)","Unemployment,0-(x^7),2","TradeUnionist_perc,0+(0.25*x)","Socialist_perc,-0.2+(0.4*x)","WorkersOnBoards,-0.03-(0.03*x),4",#,"GDP,-0.3-(0.2*x)","Conservatives,-0.2-(0.3*x)","BusinessConfidence,-0.05-(0.05*x)","_All_,-0.05-(0.05*x)",,,,,,,,
#,TechnologyBackwater,ECONOMY,,sit_icons_technologybackwater,0,0.6,0.4,0,0+(1.0*x),0,0+(1.0*x),"_default_,1.0","TaxShelters,0-(0.12*x),4","Technology,0-(0.7*x),4","ScienceFunding,0-(0.34*x),16","StemCells,0-(0.12*x),12","Creationism,0.22-(0.22*x),12","SpaceProgram,0-(0.13*x),8",#,"GDP,0-(0.32*x)^1.6",,,,,,,,,,,
#,InnerCityRiots,LAWANDORDER,,sit_icons_innercityriots,0,0.6,0.4,100,0+(1.0*x),0,0+(1.0*x),"ArmedPolice,-0.15-(0.15*x)","CCTVCameras,-0.1-(0.2*x),2","PovertyRate,0+(1.0*x),4","CrimeRate,0+(0.15*x)","Unemployment,0+(0.25*x),4",#,"Conservatives,-0.2-(0.3*x)","CrimeRate,0.04+(0.06*x),2","ViolentCrimeRate,0+(0.18*x)",,,,,,,,,,,
