,name,image,male,female,overriden joins,default,percentage,activism,turnout,militancy,color,,influences,,,,
#,Socialist,voter_socialist.dds,voter_socialist2.dds,voter_socialist.dds,1,-0.3,0.1,1,1,1,"255,0,0,255",#,"StateEmployees,0.2","TradeUnionist,0.25",, ,
#,Capitalist,voter_capitalist.dds,voter_capitalist.dds,voter_capitalist2.dds,1,0.16,0.25,1,1,1,"0,255,0,255",#,"TradeUnionist,-0.25","SelfEmployed,0.2",,,
#,Retired,voter_retired.dds,voter_retired.dds,voter_retired2.dds,0,0,0.19,1.2,1.25,0.75,"0,0,255,255",#,"Commuter,-1.0","SelfEmployed,-1.0","StateEmployees, -1.0","Parents,-1.0","Young,-1.0"
#,Commuter,voter_commuter.dds,voter_commuter2.dds,voter_commuter.dds,0,0,0.7,1,1,1,"255,255,0,255",#,"Retired,-1.0",,,,
#,Patriot,voter_patriot.dds,voter_patriot2.dds,voter_patriot.dds,0,0,0.1,1,1,1,"0,255,255,255",#,"EthnicMinorities,-0.2",,,,
#,Motorist,voter_motorist.dds,voter_motorist.dds,voter_motorist2.dds,0,0.2,0.32,1,1,1,"255,0,255,255",#,"Environmentalist,-0.2",,,,
#,Liberal,voter_liberal.dds,voter_liberal2.dds,voter_liberal.dds,1,0,0.27,1,1,1,"148,22,22,255",#,"Religious,-0.2","Environmentalist,0.1","Young,0.15","Retired,-0.15",
#,Religious,voter_religious.dds,voter_religious.dds,voter_religious2.dds,0,0,0.05,1,1,1,"0,128,0,255",#,,,,,
#,TradeUnionist,voter_tradeunionist.dds,voter_tradeunionist.dds,voter_tradeunionist2.dds,0,-0.25,0.2,1,1,1,"0,0,128,255",#,"SelfEmployed,-1.0",,,,
#,SelfEmployed,voter_selfemployed.dds,voter_selfemployed.dds,voter_selfemployed2.dds,0,0,0.15,1,1,1,"128,255,0,255",#,"StateEmployees,-1.0","TradeUnionist,-1.0","Retired,-1.0",,
#,Environmentalist,voter_environmentalist.dds,voter_environmentalist2.dds,voter_environmentalist.dds,0,0.2,0.09,1,1,1,"128,0,255,255",#,"Motorist,-0.2",,,,
#,Wealthy,voter_wealthy.dds,voter_wealthy.dds,voter_wealthy2.dds,1,0,0.09,1,1,1,"255,0,128,255",#,,,,,
#,Poor,voter_poor.dds,voter_poor2.dds,voter_poor.dds,1,0,0.25,1,1,1,"128,193,128,255",#,,,,,
#,MiddleIncome,voter_middleincome.dds,voter_middleincome2.dds,voter_middleincome.dds,1,0.27,0.41,1,1,1,"32,64,128,255",#,,,,,
#,Parents,voter_parents.dds,voter_parents.dds,voter_parents2.dds,0,0,0.37,1,1,1,"168,64,52,255",#,"Retired, -1.0",,,,
#,Farmers,voter_farmers.dds,voter_farmers2.dds,voter_farmers.dds,0,0,0.08,1,1,1,"255,128,255,255",#,"Commuter,-1.0","Retired,-1.0",,,
#,StateEmployees,voter_stateemployees.dds,voter_stateemployees.dds,voter_stateemployees2.dds,0,0,0,1,1,1,"192,0,45,255",#,"SelfEmployed,-1.0",,,,
#,Conservatives,voter_conservatives.dds,voter_conservatives.dds,voter_conservatives2.dds,1,0,0.24,1,1,1,"45,0,128,255",#,"Religious,0.25","Environmentalist,-0.1","Retired,0.15","Young,-0.15",
#,Young,voter_young.dds,voter_young.dds,voter_young2.dds,0,0,0.17,1.2,0.75,1.25,"0,0,0,255",#,"Retired,-1.0","Environmentalist,0.15",,,
#,EthnicMinorities,voter_ethnicminorities.dds,voter_ethnicminorities.dds,voter_ethnicminorities2.dds,0,0,0.3,1,1,1,"212,120,2,255",#,"Patriot,-0.2",,,,
#,_All_,,,,1,0,1,1,1,1,"0,128,64,255",#,,,,,
